"code","text"
"1108",INSTRUMENTAT & INSTRUMENT DEVP
"1109","""STUDIES IN SCIE"
"110P",AAAS FELLOWS
"1110",CELLULAR & PHYSIOLOGICAL BIOSC
"1111",DEVELOPMENTAL SYSTEMS CLUSTER
"1112",Genetic Mechanisms
"1113",PLANT SCIENCE INITIATIVE
"1114",Cellular Dynamics and Function
"1115",RESEARCH TRAINING
"1116",EUKARYOTIC GENETICS
"1117",CELLULAR PHYSIOLOGY
"1118",PLANT FUNGAL & MICROB DEV MECH
"1119",ANIMAL DEVELOPMENTAL MECHANSMS
"1120",DIVISION RESERVE - BSR
"1121",ECOLOGY
"1122",SYSTEMATIC BIOLOGY
"1123",POPULAT BIOLOGY & PHYSIOL ECOL
"1124",ECOSYSTEMS STUDIES
"1125",BIOLOGICAL RESEARCH RESOURCES
"1126",LONG-TERM ECOLOGICAL RES (LTER
"1127",EVOLUTIONARY PROCESSES CLUSTER
"1128",POP & COMMUNITY ECOL CLUSTER
"1129",LONG-TERM PROJCTS IN ENVIR BIO
"112P",""
"1130",BEHAV & NEURAL SCIENCES
"1131",ARABIDOPSIS
"1132",CELLULAR ORGANIZATION
"1133",""
"1134",FUNCTINL ORGANIZATN & DYNAMICS
"1135",UNGRAD MENTORING IN ENVIR BIOL
"1136",SIGNAL TRANSDCTN/CELL REGULATN
"1139",RSCH EXPER FOR UNDERGRAD SITES
"113P",QEM WORKSHOP FOR MRI
"1140",MOLECULAR & GENETIC BIOSCIENCE
"1141",PHYSIOLOG & STRUCTURAL SYS
"1142",CELLULAR BIOCHEMISTRY
"1143",BIOCHEMISTRY
"1144",Molecular Biophysics
"1145",INTEGRATIVE PLANT BIOLOGY
"1146",ANIMAL SYSTEMS PHYSIOLOGY
"1147",ENDOCRINOLOGY
"1148",ECOLOGICAL & EVOLUTIONARY PHYS
"1150",MOLECULAR BIOLOGY
"1151",BIOCHEMISTRY
"1152",BIOPHYSICS
"1154",GENE EXPRESSION
"1155",INTEGRATIVE ANIMAL BIOLOGY
"1156",MICROBIAL GENETICS
"1157",Broadening Participation of Gr
"1158",BIOMOLECULAR PROCESSES
"1159",POSTDOC RSCH FELLOW IN MOL EVO
"1160",IBN ANIMAL BEHAVIOR
"1161",NEUROBIOLO OF LEARNING & MEMOR
"1162",COMPUTATIONAL NEUROSCIENCE
"1164",MOLECULAR BIOPHYSICS
"1165",ADVANCES IN BIO INFORMATICS
"1166",MOLECULAR BIOCHEMISTRY
"1168",""
"1169",RECOG AWDS FOR INTEG OF R&E
"116P",Sci & Innovation Initiative
"1170",NEUROBIOLOGY
"1171",PHYLOGENETIC SYSTEMATICS
"1174",POPULATION DYNAMICS
"1179",Biol & Envir Inter of Nano Mat
"1180",HUMAN COGNITION & PERCEPTION
"1181",ECOSYSTEM STUDIES
"1182",POP & COMMUNITY ECOL PROG
"1185",SENSORY SYSTEMS
"1186",CENTRAL NEURAL PROCESSING
"1188",SYNAPTIC MECHANISMS
"1189",MAJOR RESEARCH INSTRUMENTATION
"119",""
"1190",DEVELOPMENTAL NEUROSCIENCE
"1191",BEHAVIORAL NEUROSCIENCE
"1192",NEURONAL AND GLIAL MECHANISMS
"1193",NEUROENDOCRINOLOGY
"1195",LONG TERM ECOLOGICAL RESEARCH
"1196",LONG-TERM RSCH IN ENVIR BIO
"1197",BIOLOGICAL RESEARCH COLLECTION
"1198",Biodiversity: Discov &Analysis
"119P",H.S.I. LISTENING SESSIONS
"120",""
"1200",PHYSICS UNDISTRIBUTED
"1210",ASTRONOMICAL SCIE-OTHER-RESERV
"1211",UNIV RADIO FACILITIES PROGRAM
"1214",PLANETARY ASTRONOMY
"1215",STELLAR ASTRONOMY & ASTROPHYSC
"1216",GALACTIC ASTRONOMY PROGRAM
"1217",EXTRAGALACTIC ASTRON & COSMOLO
"1218",ADVANCED TECHNOLOGIES & INSTRM
"1219",SPECIAL PROGRAMS IN ASTRONOMY
"1220",ELEMENTARY PARTICLE PHYSICS
"1221",ELEMENTARY PARTICLE ACCEL USER
"1222",SUP OF CORNELL ELEC RING (CESR
"1223",LHC OPERATIONS
"1224",SUP OF CORNELL ELEC STOR (PHYS
"1229","""PHYSICS"
"122P",RESPONSIBLE CONDUCT OF RES
"1230",INTERMEDIATE ENERGY NUCLAR PHY
"1231",FACILITIES
"1232",Nuclear & Hadron Quantum Chrom
"1233",NUCLEAR STRUCTURE & REACTIONS
"1234",NUCLEAR PRECISION MEASUREMENTS
"123P",WKSHP ON WOMEN IN BIOTECH
"1240","""ATOMIC"
"1241","""AMO Experiment/Atomic"
"1242",PLASMA PHYSICS
"1243",GRAVITATIONAL EXPERIMENTS
"1244",GRAVITATIONAL THEORY
"1245",THEORETICAL PHYSICS
"1246",NUCLEAR THEORY
"1247",OTHER THEORY
"1248",PHYSICS-OTHER
"1251",LASER INTER GRAVIT WAVE OBSERV
"1252",LIGO RESEARCH SUPPORT
"1253",OFFICE OF MULTIDISCIPLINARY AC
"1255",INDIANA UNIV (CYCLOTRON FACIL)
"1256",MICHIGAN ST UNIV (CYCLO FACIL)
"1257",MID-SCALE INSTRUMENTATION
"1258",TOPOLOGY AND FOUNDATIONS
"125P",ASSESSMENT OF STC PROGRAM
"1260",INFRASTRUCTURE PROGRAM
"1261",CLASSICAL ANALYSIS
"1262",MODERN ANALYSIS
"1263",PROBABILITY
"1264","""ALGEBRA"
"1265",GEOMETRIC ANALYSIS
"1266",APPLIED MATHEMATICS
"1267",TOPOLOGY
"1268",FOUNDATIONS
"1269",STATISTICS
"1270",MATHEMATICAL SCIENCES-RESERVE
"1271",COMPUTATIONAL MATHEMATICS
"1272",ELEMENTARY PARTICLE PHYSICS
"1273",NUCLEAR
"1274",GRAVITIONAL PHYSICS
"1275",THEORET-ELEMENTARY PARTIC
"1276",OTHER THEORETICAL
"1277",PLASMA PHYSICS
"1278",INTERMEDIATE ENERGY
"1279",OTHER PHYSICS
"127P",CEOSE Symposium
"1280",NCO PROGRAM OFFICE
"1281",ANALYSIS PROGRAM
"1283",SOUTH POLE SAFETY PROJECT
"1284","""AMO Theory/Atomic"
"1285",NUCLEAR THEORY
"1286",Elem. Particle Physics/Theory
"1287",MATHEMATICAL PHYSICS
"1288",Particle Astrophysics & Cosmol
"1289",PRECISION MEASUREMENTS
"1290",OPTICAL PHYSICS
"1291",ATOMIC & MOLECULAR DYNAMICS
"1292",ATOMIC & MOLECULAR STRUCTURE
"1293","""LIGO"
"1294",OPPORTUNITY SEED FUNDS
"1295",PARTICLE ASTROPHYSICS
"1296",SOUTH POLE STATION MODERNIZATI
"1297",SCI & TECH  CTRS (INTEG PTRS)
"1299",MILLIMETER ARRAY (ALMA)
"129P",Einstein Fellow (OLPA)
"130",""
"1300",BBS-RESERVE
"1301",SOCIAL & ECONOMOC SCIENCE-RES
"1310",ANTHROPOLOGY
"1311",LINGUISTICS
"1320",ECONOMICS
"1321",DECISION RISK & MANAGEMENT SCI
"1327",SBE INSTRUMENTATION
"1329",PLANT GENOME RESEARCH PROJECT
"1330",SOCI SOC PSYCH SOC INDIC
"1331",SOCIOLOGY
"1332",SOCIAL PSYCHOLOGY
"1333","""METHOD"
"1335",IGERT FULL PROPOSALS
"133P",S&T in America's Reinvestment
"1340",ENGINEERING EDUCATION
"1349",URBAN RSCH INITIATIVE PROPOSAL
"134P",iEdison Database
"1350",BBS-INT COUNC OF SCIE UNS
"1351",SPECIAL PROJECTS
"1352",GEOGRAPHY AND SPATIAL SCIENCES
"1353",Hist & Philosophy of SET
"1357",URBAN RSCH INITIATIVE-OPP FUND
"1358",CHILD LEARNING AND DEVELOPMENT
"1359",RES EXP FOR TEACHERS(RET)-SITE
"135P",NAS Study on Rsrch Univers
"1360",HUMAN RESOURCES DEVELOPMENT
"1361",POLAR SUPPORT AIRCRAFT UPGRADE
"1362",LARGE HADRON COLLIDER
"1365",PHYSICAL INFRASTRUCTURE DEVELP
"1366",BIOCOMPLEXITY
"136P",Audit of Raytheon Contract
"1370",POLITICAL AND POLICY SCIENCE
"1371",POLITICAL SCIENCE
"1372",LAW AND SOCIAL SCIENCES
"1380",SCIENCE POLICY RESEARCH
"1381","""OPPORTUNITY FUND"
"1385",SPECIAL STUDIES AND ANALYSES
"1390",CULTURAL ANTHROPOLOGY
"1391",ARCHAEOLOGY
"1392",Biological Anthropology
"1393",ARCHAEOMETRY
"1394",DISSERTATIONS
"1395",SYSTEMATIC ANTHROPOLOGICAL COL
"1397",CROSS-DIRECTORATE ACTIV PROGR
"1398",BIO INFOR POSTDOCT RSCH FELLOW
"1400",ENGINEERING-INT COUNC SCIE UNS
"1401",Catalysis
"1402",BIOCHEMICAL & BIOMASS ENG
"1403","""Proc Sys"
"1406",THERMAL TRANSPORT PROCESSES
"1407",Combustion & Fire Systems
"1410","""ENG SCI IN CHEM"
"1411",CHEMICAL & BIOCHEMICAL SYSTEMS
"1412",HEAT TRANSFER
"1413",ENGINEERING ENERGETICS
"1414",INTERFAC PROCESSES & THERMODYN
"1415",PARTICULATE &MULTIPHASE PROCES
"1416","""KINETICS"
"1417",Process Separations
"1419","""ENG"
"1420",ENGINEERING ENERGITICS
"1425",SOIL DYNAMICS & EARTH STRUCTUR
"1426",GROUND MOTION & TSUNAMIS
"1427",DYNAMIC STRUCTURAL ANALYSIS
"1428",DYNAMIC STRUCURAL EXPERIMENTAT
"1429",ARCHITECTURE AND PLANNING
"142P",SACNAS
"1430",MECHANICAL SCIENCES & ENG-RES.
"1431",CIVIL & ENVIRONMENTAL TEC
"1432",FLUID MECHANICS PROGRAM
"1433",INDUSTRIAL TECH PROGRAM
"1434",SOLID MECHANICS
"1435","""WATER RES"
"1436",MECHANICAL SYSTEMS
"1439",CONSTRUCTION ENGINEER&BLDG RES
"1440",ENVIRONMENTAL ENGINEERING
"1441",MECHANICS
"1442",CONSTRUCTION AND INFRASTRUCTUR
"1443",FLUID DYNAMICS
"1444",SURFACE ENGINEERING
"1445",DYNAMICS & CONTROL
"1446",MATERIALS
"1448",GEOTECHNICAL I
"1450","""ENG SCIE IN ELEC"
"1451","""AUTO"
"1452",POWER SYSTEMS
"1453",COMMU SYSTEMS & SIGNAL PROCESS
"1454",SYSTEMS THEORY
"1455","""QUANT ELECTRON"
"1456",SOLID-STATE&MICROSTRUCTURE RES
"1457",COMPUTER ENGINEERING (OTHER)
"1459",COMMUNICATIONS SYSTEMS
"1460","""SCIE BASE DEV IN DESIGN"
"1463",INTEGRATION ENGINEERING
"1464",ENGINEERING DESIGN AND INNOVAT
"1465",PRODUCTION SYSTEMS
"1467",MATERIALS PROCESSING AND MANFG
"1468",Manufacturing Machines & Equip
"1470",GENERAL CIVIL ENGIN-RESERVE
"1471",GEOTECHNICAL ENGINEERING
"1472",OCEAN ENGINEERING SYSTEMS
"1473",STRUCTURES I
"1474",NAT & MAN-MADE HAZARD MITIGATI
"1475",COMPUTER SYSTEMS ARCHITECTURE
"1476",SOFTWARE SYSTEMS DESIGN
"1477","""VISION"
"1480",ENGINEERING RESEARCH CENTERS
"1483",EARTHQUAKE ENGINEER RESRCH CTR
"1491",Cellular & Biochem Engineering
"1492",EMERGING TECHNOLOGIES INITIAT
"1493",LIGHTWAVE TECHNOLOGY
"1494",NEUROENGINEERING
"1495",COMPUTATIONAL ENGINEERING
"1496",GEOTECHNICAL II
"1497",ARCHITECTURE & MECHAN SYSTEMS
"1498",STRUCTURES II
"1499",EARTHQUAKE SYSTEMS INTEGRATION
"1500",ENVIRONMENTAL SCIENCES-RESERVE
"1503",OPTICAL COMMUNICATIONS SYSTEMS
"1504",GRANT OPP FOR ACAD LIA W/INDUS
"1505",STTR PHASE I
"150P",Public Access Planning Mtg
"1513","""REGIONAL INST-GLOBAL CHNGE"
"1515",AGEP
"1516",RESOURCES & INFRASTRUCTURE
"1517","""ELECT"
"1518","""CONTROL"
"1519",INTEGRATIVE SYSTEMS
"1520",COMPUTING FACILITIES
"1521",AERONOMY
"1522",PHYSICAL METEOROLOGY
"1523",SOLAR-TERRESTRIAL
"1524",ATMOSPHERIC CHEMISTRY
"1525",PHYSICAL & DYNAMIC METEOROLOGY
"1527",LARGE-SCALE DYNAMIC METEOROLOG
"1529",LOWER ATMOSPHER OBSER FACILITI
"1530",PALEOCLIMATE PROGRAM
"1534",HBCU
"1536",S-STEM:SCHLR SCI TECH ENG&MATH
"1537",ENRICHMENT COURSES
"1538",SYSTEMIC REFORM
"1540",OTHER SOLID EARTH SCIENCE
"1541",GEOCHEMISTRY
"1542",GEOLOGY
"1543",GEOPHYSICS
"1544",RES ON GENDER IN SCI & ENGINE
"1545",RES IN DISABILITIES ED
"1546",SUMMER SCIENCE CAMPS
"1547",COMP PART FOR MATH & SCI ACHIE
"1548",COMP REGIONAL CENTERS FOR MINO
"1549",EXTRA-TERRESTRIAL MATERIALS
"1550",EARTH SCIENCES PROJECT SUPPORT
"1551",STRATIGRAPHY & PALEONTOLOGY
"1557",VOLCANOLOGY & MANTLE GEOCHEMIS
"1560",ARCTIC CONTAMINANTS
"1561","""STRATIGRAPHY & PALEON"
"1562","""ENVIRONMENTAL GEOSCIENCES"
"1563","""CRUSTAL STRUC & TECTONICS"
"1564","""SEISMOLOGY & DEEP EARTH"
"1565","""EXPER & THEORET GEOPHYS"
"1566","""PETROG & MIN RES"
"1567","""MANTLE GEOCH"
"1568","""EXP & THEOR GEOCHEM"
"1571",SCEC
"1572",TECTONICS
"1573",PETROLOGY AND GEOCHEMISTRY
"1574",GEOPHYSICS
"1575",EDUCATION AND HUMAN RESOURCES
"1576",NATIONL EARTHQK HZRD REDCT PRG
"1577",GLOBAL CHANGE
"1578",FACILITY SUPPORT
"1579",HYDROLOGIC SCIENCES
"1580",INSTRUMENTATION & FACILITIES
"1581",CONTINENTAL DYNAMICS PROGRAM
"1582",MODEL INST OF EXCELL NON-RESER
"1583",ACTIVE TECTONICS
"1584",ENVIRO GEOCHEM AND BIOGEOCHEM
"1585",STUDIES OF THE EARTHS DEEP INT
"1586",HIGH PER COMPUTING AND COMMUNI
"1590",CIRE-LIKE ACTIVITIES
"1591",STTR PHASE II
"1592",PROF OPPOR FOR WOMEN IN RSCH
"1593",PRES AWDS FOR EXCELL IN SCI
"1594",HIST BLACK COLLEGES AND UNIV
"1597",VISUALIZATION
"1598",WIRELESS
"1599",HIGH-PERFORM INSTR AIR PLAT FO
"1600",OCEAN SECTION RESERVE
"1603",POSTDOC RSCH FLLWSHP MICRO BIO
"1609",NSF ASTRON & ASTROPHY PSTDC FE
"1610",PHYSICAL OCEANOGRAPHY
"1611",OCEAN PHYSICS
"1612",MARINE CHEMISTRY
"1613",PHYSICAL LIMNOLOGY
"1620",MARINE GEOLOGY AND GEOPHYSICS
"1621",SUBMARINE GEOLOGY
"1622",SUBMARINE GEOPHYSICS
"1629",BE: NON-ANNOUNCEMENT RESEARCH
"1630",Mechanics of Materials and Str
"1631",CIVIL INFRASTRUCTURE SYSTEMS
"1632",CONTROL SYSTEMS
"1633",MATERIALS AND SURFACE ENG
"1634",GEOMECHANICS & GEOMATERIALS
"1635",STRUCTURAL MATERIALS AND MECH
"1636",Geotechnical Engineering and M
"1637",Structural and Architectural E
"1638",INFRAST MGMT & EXTREME EVENTS
"1639",SENSORS AND SENSING SYSTEMS
"1640",INFORMATION TECHNOLOGY RESEARC
"1641",TERASCALE COMPUTING SYSTEMS
"1642",SPECIAL INITIATIVES
"1643",Particle Astrophysics/Cosmic P
"1644",NETWK FOR ERTHQUKE ENG SIMULAT
"1646",PHYSICS FRONTIER CENTER
"1647",ANTARCTIC INSTRUM & SUPPORT
"1650",BIOLOGICAL OCEANOGRAPHY
"1662",PARTNRSHIPS FOR INNOVATION-PFI
"1664",Research Coordination Networks
"1666",RESEARCH ON LEARNING & EDUCATI
"1668",CYBERCORPS: SCHLAR FOR SER
"1670",CHEMICAL OCEANOGRAPHY
"1671",OCEANIC CHEMISTRY
"1672",HYDROCHEMISTRY
"1674",NANOSCALE: INTRDISCPL RESRCH T
"1675",NANOSCALE: SCIENCE & ENGIN CTR
"1676",NANOSCALE: EXPLORATORY RSRCH
"1679",INTERNATIONAL COORDINATION ACT
"1680",OCEAN TECH & INTERDISC COORDIN
"1681",ADVANCE - FELLOWS
"1684",THE 2010 PROJECT
"1685",NNCO ACTIVITIES
"1686",ITR SMALL GRANTS
"1687",ITR MEDIUM (GROUP) GRANTS
"1688",ITR LARGE GRANTS
"1690","""EDUCATION/HUMAN RESOURCES"
"1691",DYN COUPLED NATURAL-HUMAN
"1692",BE: COUPLED BIOGEOCHEMICAL CYC
"1693",ENVIRONMENTAL GENOMICS
"1694",BE: INSTRUM DEVELOP FOR ENV AC
"1697",OPPORT FOR ENHANCING DIVERSITY
"1698",DS - Developmental Sciences
"1699",COGNEURO
"1700","""MATERIALS"
"1701",MATERIALS RESEARCH-IUC
"1705",BIOLOGY & INFORMATION TECHNOLO
"1706",DIGITAL GOVERNMENT
"1707",ADVANCED LEARNING TECHNOLOGIES
"1708",QuBIC
"1709",CISE EDUCAT RES & CURRIC DEVEL
"1710",CONDENSED MATTER PHYSICS
"1712",DMR SHORT TERM SUPPORT
"1713",WORKFORCE
"1714",SPECIAL PROJECTS - CISE
"1715","""METALS"
"1720",SOLID-STATE CHEMSTRY & POLYMRS
"1725",NAT'L FACILITIES & INSTRUMNTAT
"1730",SPECIAL PROGRAMS IN MATERIALS
"1731",GRAD TEACHING FELLOW IN K-12ED
"1733",GEOSCIENCE EDUCATION
"1735",MATERIALS RSCH SCI & ENG CENT
"1736",MATERIALS CENTERS & EDUCATION
"1737",NATIONAL FACILITIES & INSTRUM
"1738",ADVANCE - INSTITUTIONAL TRANSF
"1739",ADVANCE - LEADERSHIP
"1740",MATERIALS RESEARCH LABORATORIS
"1741",EARTHSCOPE SCIENCE
"1742",EARTHSCOPE OPERATION & MAINTEN
"1743",NATIONAL FACILITIES
"1744",TRIBAL COLLEGE & UNIVERS PROGR
"1746",DISTINGUISHED TEACHING SCHOLAR
"1747",MATERIALS RESEARCH GRPS PROGRM
"1748",H-1B K-12 PARTNERSHIPS
"1750",MPS DMR INSTRUMENTATION
"1758",""
"1760",CONDENSED MATTER SCIENCES-RESR
"1761",SOLID STATE PHYSICS
"1762",SOLID STATE & MATERIALS CHEMIS
"1763",QUANTUM SOLIDS & LIQUIDS
"1764",LOW TEMPERATURE PHYSICS
"1765",CONDENSED MATTER & MAT THEORY
"1766",STRATEGIC TECH FOR INTERNET
"176T",IT OPS AND INFRASTRUCTURE
"1770","""METALLURGY"
"1771",METAL & METALLIC NANOSTRUCTURE
"1772",CERAMICS & ELECTRONIC MATERIAL
"1773",POLYMERS
"1774",CERAMICS
"1775",ELECTRONIC/PHOTONIC MATERIALS
"1776",INTEREST ON ALMA
"1777",MSP-TEACHER INSTITUTES
"1779","""MAT"
"177T",OTHER MISSION RELATED APPS
"1780",SPECIAL PROJECTS (MATERIALS RE
"1781",NATIONAL MAGNET LABORATORY
"1782",SYNCHROTRON RADIATION FACILITY
"1786",MANFG ENTERPRISE SYSTEMS
"1787",SERVICE ENTERPRISE SYSTEMS
"1788",NANOMANUFACTURING
"1789",COMPREHENSIVE TEST BAN TREATY
"1790",STC CENTERS-ESTABLISHED
"1791",MSP-COMPREHENSIVE AWARDS
"1792",MSP-TARGETED AWARDS
"1793",MSP-OTHER AWARDS
"1794","""BE-MAT USE:SCIENCE"
"1795",ROBERT NOYCE SCHOLARSHIP PGM
"1796",STEM TALENT EXPANSN PGM (STEP)
"1797",DOCTORAL HBCU RSRCH CAPACITY
"1798",""
"179T",ITRAK
"1800",""
"1803",""
"1805",""
"1806",""
"1807",""
"1810",""
"1811",""
"1812",""
"1813",""
"1815",""
"1816",""
"1817",""
"1819",""
"1824",""
"1825",""
"1827",""
"1828",""
"1830",""
"1831",""
"1832",""
"1833",""
"1834",""
"1837",""
"1839",""
"1840",""
"1841",""
"1842",""
"1843",""
"1844",""
"1845",""
"1846",""
"1848",""
"1849",""
"1850",""
"1853",""
"1854",""
"1855",""
"1856",""
"1858",""
"1859",""
"1860",""
"1865",""
"1866",""
"1867",""
"1868",""
"1869",""
"1870",""
"1871",""
"1873",""
"1875",""
"1879",""
"1880",""
"1881",""
"1882",""
"1883",""
"1886",""
"1887",""
"1888",""
"1890",""
"1891",""
"1892",""
"1893",""
"1894",""
"1895",""
"1896",""
"1898",""
"1899",""
"1900",CHEMISTRY - UNDISTRIBUTED
"1910",CHEMICAL DYNAMICS
"1912",ORGANIC CHEMICAL DYNAMICS
"1913",CHEMICAL PHYSICS
"1914",INORGANIC CHEMICAL DYNAMICS
"1915",EXPERIMENTAL CHEMICAL PHYSICS
"1916",STRUCTURAL CHEMISTRY
"1917",THEORETICAL CHEMICAL PHYSICS
"1918",CHEMICAL THERMODYNAMICS
"1920",RESEARCH/TESTBEDS
"1921",COLLABORATORIES
"1922",CONNECTIONS
"1931",NATURAL PRODUCTS CHEMISTRY
"1932",SYNTHETIC INORGANIC & ORGANOME
"1933",SYNTHETIC ORGANIC CHEMISTRY
"1934",SYNTHETIC ORGANIC & NAT PRODUC
"1935",REGIONAL INSTRUMENTATION FACIL
"1936",CHEMICAL ANALYSIS
"1937",ELECTROCHEM & SURFACE CHEMISTR
"1938",CHEMICAL INSTRUMENTATION
"1939","""CHEM"
"1941",ANALYT SEPARATIONS & MEASUREMN
"1942",UNIMOLECULAR PROCESSES
"1944",BIMOLECULAR PROCESSES
"1948",SYNTHESIS
